sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
21,CK-20B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.811847,171.946772,364.308,404.995,lower,10.1,175.6,-23.17,3.6,356.8,5.776,4.35,4.671,15.3,4,2.81,-22.04,0.01,0.04,4.48,1.94,86.01,0.25,0.25,25,0.13,46.88,0.25,0.25,25,2.07,132.89,0.5,0.5,50,72.2,106.9,5.16,34.98,0.21,17390,2.5,0.5,82.5,0.3,23960,2.5,14.7,57.8,17.2,30250,2.5,13900,34.7,13290,482.5,0.2,330.7,22.2,661.8,12.2,1.5,3,305.6,1.5,39.6,1115,2,50.5,78.9,0,0,1,0,0,0,0,0,0
22,CK1-100B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.82078,171.964511,363.917,404.604,lower,11.1,175.6,-23.17,4.4,50.1,6.293,4.721,5.348,36,2.5,-3.28,2.28,0.02,0.56,34.45,0.13,44.03,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,46.53,0.5,0.5,50,14.78,50.24,1.47,7.2,0.055,10886.45,2.5,0.5,65.34,0.2,3039.84,2.5,11.45,43.73,7.27,24950.2,2.5,10986.06,36.85,9781.87,368.73,0.6,219.72,17.73,747.61,9.06,1.5,3,201.29,1.5,7.77,1340.64,2,40.14,64.84,0,0,1,0,0,0,0,0,0
23,CK2-100A,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.820775,171.964582,363.944,404.631,lower,11.1,175.6,-23.17,4.4,50.1,8.478,7.648,7.752,272.2,5.5,-5.34,5.11,0.02,1.51,85.92,5.38,47.36,0.25,0.25,25,0.13,65.92,0.25,0.25,25,5.5,113.28,0.5,0.5,50,85.58,48.03,6.12,20.48,0.265,17359.44,2.5,0.5,84.24,0.4,59899.6,2.5,14.66,60.14,21.79,31034.14,2.5,13865.46,39.46,13965.86,490.66,0.1,316.57,22.99,591.47,11.75,1.5,3,340.36,1.5,66.77,1039.16,2,52.81,81.22,0,0,1,0,0,0,0,0,0
24,CK2-100B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.81118,171.952737,359.732,400.422,lower,10,175.6,-23.17,5.4,171.9,7.485,6.554,7.224,369.2,2,-4.67,0.85,0.01,0.28,19.57,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,81.96,31.26,4.96,17.4,0.22,11152.3,2.5,20.74,60.62,0.3,11252.51,2.5,10.92,42.99,11.82,22995.99,58.32,10731.46,28.56,9920.84,370.44,0.2,231.06,17.54,646.89,9.62,1.5,3,248.8,1.5,19.14,1290.58,2,36.47,61.62,0,0,1,0,0,0,0,0,0
25,CM-2 1,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.162,167.083333,1870.42,1905.08,upper,153.9,14.9,-37.5,1.5,131.2,7.527,6.826,6.615,183.8,13.7,-0.54,-13.77,0.05,0.1,2.1,12.24,342.71,361.42,0.25,1316.49,11.76,88.94,26.36,0.25,25,24,431.65,387.79,0.5,1341.49,252.41,54.71,27.35,1600.42,3.974,15189.24,2.5,0.5,133.47,1.39,12798.8,2.5,11.06,25.8,14.94,24392.43,12.25,2945.22,17.33,5175.3,475.4,0.2,2432.27,15.54,236.65,19.92,1.5,3,1208.17,1.5,136.06,72.81,2,26.79,71.22,0,0,1,0,0,0,0,0,0
26,CM-4,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.171731,167.079235,1893.12,1927.78,upper,154.8,14.9,-37.5,3.8,239.8,7.459,6.891,5.492,198.6,7.4,2.74,-9.49,0.07,0.21,2.92,6.73,167.14,156.8,0.25,444.66,3.84,56.66,7.14,0.25,25,10.57,223.8,163.93,0.5,469.66,294.95,45.58,26.5,394.28,2.991,11132.26,2.5,0.5,100.1,0.9,8668.34,2.5,8.72,19.64,14.13,17715.43,8.02,2001,12.12,3774.55,411.42,0.2,1101.2,11.92,322.04,13.03,1.5,3,835.27,1.5,89.58,165.43,2,23.85,49.4,0,0,1,0,0,0,0,0,0
27,CM-PA 3-10,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.17185,167.079833,1892.78,1927.44,upper,154.8,14.9,-37.5,2.6,244.6,8.143,7.255,6.93,139.6,13.5,3.25,-10.51,0.04,0.17,4.1,12.05,187.57,289.51,0.25,1774.45,11.17,71.75,24.84,0.25,25,23.21,259.32,314.35,0.5,1799.45,249.36,49.15,26.01,1497.5,3.765,19728.37,2.5,0.5,125.35,1.31,12173.04,2.5,10.66,23.94,14.99,23360.16,2.5,2683.1,18.91,4923.54,467.71,0.3,2723.34,14.59,383.2,19.01,1.5,3,35.71,1.5,130.38,68.21,2,24.25,68.21,0,0,1,0,0,0,0,0,0
28,CM-PA 30,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.171731,167.079235,1893.12,1927.78,upper,154.8,14.9,-37.5,3.8,239.8,7.954,7.005,6.8,242.4,13.1,3.07,-8.22,0.04,0.22,5.04,9.29,48.18,0.25,0.25,25,0.13,48.27,0.25,0.25,25,9.41,96.45,0.5,0.5,50,57.17,38.99,5.69,135.37,0.75,14569.14,2.5,0.5,130.66,1.3,11873.75,2.5,10.72,23.25,14.13,23727.45,2.5,2715.43,18.74,4985.97,469.34,0.1,592.18,14.73,274.75,19.44,1.5,3,1046.09,1.5,122.95,73.35,2,22.04,67.23,0,0,1,0,0,0,0,0,0
29,CM2 (OM),CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.161882,167.083086,1870.27,1904.93,upper,153.9,14.9,-37.5,1.8,158.5,7.418,6.075,6.596,153,9.8,2.43,-8.5,0.08,0.23,2.88,33.69,229.11,89.46,0.25,25,29.64,162.09,0.25,0.25,25,63.33,391.2,89.71,0.5,50,435.6,118.95,42,372.57,4.11,14078.16,2.5,0.5,135.07,1.2,11042.08,2.5,9.92,22.95,12.93,22064.13,21.54,2390.78,17.03,4716.43,508.72,0.1,610.62,14.43,274.35,15.63,1.5,3,883.87,1.5,104.51,97.7,2,24.75,61.52,0,0,1,0,0,0,0,0,0
30,CR-0819,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163,-23.004,30.025,lower,0.5,57.3,-14.53,6.5,86,6.185,5.343,5.704,1992.9,7.4,25.5,-28.07,0.41,1.47,3.57,25.51,106.14,234.36,142.27,25,31.68,69.38,29.91,116.71,25,57.19,175.52,264.27,258.98,50,24.33,146.17,35.52,194.44,0.175,14730,5.9,0.5,20.4,2.8,14670,2.5,4.6,7.9,0.5,16470,236,4133,8.8,3867,579.7,2,9005,0.5,10890,1.5,1.5,3,230.2,1.5,183.2,896,2,4.2,131.3,1,0,0,0,0,0,0,0,0
31,CR-0821,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163,-23.004,30.025,lower,0.5,57.3,-14.53,6.5,86,6.86,6.552,6.532,3383.5,5.1,27.43,-27.86,0.54,1.36,2.5,22.37,138.81,370.68,341.84,25,21.99,46.21,39.06,296.54,25,44.36,185.02,409.74,638.37,50,70.88,215,245.15,247.75,0.275,13163.67,5.39,0.5,15.27,2.2,10608.78,2.5,2.59,5.09,0.5,11427.15,151.7,3558.88,4.69,3675.65,398.4,1.3,9366.27,0.5,8527.94,1.5,1.5,3,196.11,1.5,129.74,533.63,2,4.19,75.85,1,0,0,0,0,0,0,0,0
