sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
71,HM-6,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.55917,175.0089,2600.11,2638.54,upper,55.3,266.4,-32.06,8.2,95.8,6.521,4.881,5.633,44.6,2,-0.62,-26.92,0.06,0.66,11.27,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,17.23,18.29,4.63,5.38,0.03,9650.3,2.5,0.5,20.54,0.2,3090.18,2.5,7.52,13.63,0.5,17394.79,2.5,2917.84,22.24,4654.31,409.82,0.2,194.09,2.91,359.32,4.41,1.5,3,231.16,1.5,5.11,1052.1,2,29.46,48.5,0,0,0,1,0,0,0,0,0
72,HR-1,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774467,170.789883,344.785,385.151,lower,15.5,358.5,-28.81,0.7,177.1,8.575,7.879,7.693,139.8,0.4,-4.89,-28.68,0.01,0.11,7.95,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,14.86,30.2,2.86,19.18,0.03,5303.39,2.5,0.5,22.75,0.3,1924.15,2.5,3.49,13.97,4.19,8459.08,7.88,2994.01,42.51,4057.88,126.85,0.1,331.04,4.79,422.75,5.29,1.5,3,160.08,1.5,4.59,556.59,2,12.57,26.95,0,0,0,0,0,0,0,0,0
73,HR-2,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774883,170.78935,345.438,385.8,lower,15.5,358.5,-28.81,0.9,180.9,6.223,4.831,5.381,39.7,0.5,-12.37,-27.5,0.01,0.04,6.05,0.13,63.94,4.74,29.84,25,0.13,2.5,0.25,0.25,25,0.25,66.44,4.99,30.09,50,11.54,33.39,1.26,12.74,0.023,2155.31,2.5,1,8.12,0.2,543.59,2.5,1,6.51,0.5,3476.95,2.5,844.99,23.45,1082.16,79.66,0.1,175.15,1.5,72.85,6.71,1.5,3,178.26,1.5,0.8,134.17,2,0.5,14.23,0,0,0,0,0,0,0,0,0
74,HR-3,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774067,170.779983,345.012,385.376,lower,15.6,358.5,-28.81,0.8,211,7.752,6.737,7.1,70.8,0.5,-7.24,-10.22,0.02,0.27,11.38,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,4.97,27.78,0.69,13.12,0.017,2931,2.5,0.5,10.4,0.2,696.6,2.5,1.7,7.3,3.3,4205,2.5,1121,29.2,1532,89.2,0.1,273.3,2.1,132.3,5.4,1.5,3,148.9,1.5,1.3,228.3,2,4.2,16.2,0,0,0,0,0,0,0,0,0
75,HR-4,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.77465,170.7777,346.094,386.452,lower,15.7,358.5,-28.81,0.8,212.7,7.484,6.227,6.846,38.3,0.6,-13.81,-29.18,0.01,0.05,5.98,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,4.53,37.04,0.87,13.1,0.015,4794.41,2.5,0.5,21.76,0.3,1182.63,2.5,3.09,11.68,6.09,7002.99,2.5,2378.24,37.03,3068.86,138.42,0.1,256.29,4.19,207.78,6.79,1.5,3,139.42,1.5,3.49,382.44,2,7.49,24.15,0,0,0,0,0,0,0,0,0
76,HR-5,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774367,170.777417,345.775,386.135,lower,15.6,358.5,-28.81,1,219.9,7.942,6.399,7.002,56.6,0.9,-13.47,-24.27,0.01,0.07,6.03,5.24,42.79,0.25,0.25,25,0.13,2.5,0.25,0.25,25,5.36,45.29,0.5,0.5,50,14.17,43.56,1.83,48.03,0.055,4768.54,2.5,0.5,18.44,0.3,1264.53,2.5,2.91,11.12,3.81,7182.36,2.5,2081.16,45.09,2846.69,142.28,0.1,195.99,3.81,170.44,16.23,1.5,3,150.8,1.5,3.11,350.8,2,8.32,26.25,0,0,0,0,0,0,0,0,0
77,HS-1,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.8008,172.217233,552.716,593.597,lower,9.1,175.6,-23.17,28.9,41.7,8.089,6.455,5.673,80.6,3.5,-9.19,-16.36,0.01,0.09,7.47,0.13,40.59,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,43.09,0.5,0.5,50,60.02,80.14,3.17,23.33,0.135,18613.86,2.5,0.5,83.96,0.3,9003.96,2.5,12.87,41.58,25.45,22643.56,2.5,10544.55,30.1,14970.3,401.09,0.1,534.16,18.22,1765.35,17.62,1.5,3,168.51,1.5,27.62,1152.48,2,42.77,55.35,0,0,0,0,0,0,0,1,0
78,HS-2,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.800917,172.219133,556.287,597.169,lower,9.1,175.6,-23.17,26.1,44.4,8.388,6.442,5.712,20.1,3.5,-4.81,-12,0.01,0.07,6.24,0.13,2.5,0.25,6.87,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,7.12,50,61.66,34.17,2.8,17.06,0.1,20040,2.5,0.5,83.5,0.6,10180,2.5,12,34.8,26.5,20550,2.5,11490,32,13560,306.8,0.1,619.8,18.3,1815,7.4,1.5,3,185.9,1.5,32.7,1109,2,38.4,50.8,0,0,0,0,0,0,0,1,0
79,HS-3,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.800867,172.221833,561.672,602.555,lower,9.1,175.6,-23.17,12.4,119,8.25,5.226,5.548,12.3,4.4,-5.33,-6.27,0.01,0.16,18.45,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,68.78,58.55,1.53,8.32,0.11,20330,2.5,0.5,92.2,0.4,14500,2.5,14,47.7,22.4,24380,2.5,11860,32.1,16910,407.2,0.1,865.8,21.8,1780,11.9,1.5,3,212.4,1.5,50.7,1458,2,47.6,62.7,0,0,0,0,0,0,0,1,0
80,HS-4,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.8003,172.2103,533.736,574.614,lower,9,175.6,-23.17,29.8,85.3,8.184,5.006,5.545,10.7,2.9,-8.26,-4.74,0.01,0.21,25.31,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,68.81,28.97,1.56,8.79,0.07,17755.51,2.5,60.92,76.45,0.7,9956.91,2.5,12.53,46.09,12.63,24078.16,80.26,11422.85,32.46,11432.87,419.84,0.2,425.95,19.24,969.04,7.21,1.5,3,181.56,1.5,18.74,1459.92,2,48.5,61.42,0,0,0,0,0,0,0,1,0
81,HS-7,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.805733,172.26245,742.082,782.985,lower,9.8,175.6,-23.17,18,337.9,7.894,5.094,5.719,20.5,9,-17.17,-22.86,0.01,0.05,6.48,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,49.86,53.17,7.56,29.98,0.11,27475.05,2.5,5.09,124.75,0.4,12894.21,2.5,26.95,52.99,43.01,29810.38,34.23,10678.64,40.72,16556.89,206.49,0.2,501.3,49.5,3453.09,3.39,1.5,3,163.87,1.5,43.51,1228.54,2,95.71,61.28,0,0,0,0,0,0,0,1,0
82,HV1-8,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.03005,-177.1751333,990,1025,middle,54.9,77.8,-33.88,13.3,247.6,8.301,7.128,7.67,845.9,4.8,0.87,-21.29,0.02,0.06,3.58,0.13,307.89,22.89,0.25,25,0.13,37.77,0.25,0.25,25,0.25,345.66,23.14,0.5,50,23.59,52.43,10.24,273.4,0.006,14051.9,2.5,0.5,28.04,0.4,7307.39,2.5,9.78,18.86,23.35,16197.6,2.5,1056.89,10.88,4228.54,211.48,0.3,1335.33,19.96,312.57,6.59,1.5,3,332.83,1.5,24.15,203.29,2,42.91,30.44,0,0,0,1,0,0,0,0,0
83,HV2-5,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.0467,-177.4161667,924,959,middle,57.2,77.8,-33.88,5.5,333,7.235,6.092,6.909,1256.5,6.5,0.25,-26.22,0.02,0.08,4.05,15.48,109.67,17.24,0.25,878.1,28.89,102,0.25,0.25,25,44.37,211.67,17.49,0.5,903.1,161.54,55.7,39.08,326.43,0.004,16782.87,14.54,70.42,26.79,1.79,6788.84,2.5,9.76,19.52,22.41,16543.82,121.22,1107.57,15.14,3917.33,247.41,1.1,2519.92,20.22,794.62,7.47,1.5,3,470.62,1.5,33.86,232.87,4.88,31.47,38.55,0,0,1,0,0,0,0,0,0
84,HV3-1,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.03316667,-177.3292167,1161,1196,middle,55.6,77.8,-33.88,22.7,310.5,7.736,7.035,7.635,7246.4,6.9,6.6,-24.29,0.05,0.05,0.97,18.16,974.51,315.57,0.25,7555.38,17.94,92.94,11.53,0.25,6750.45,36.1,1067.45,327.1,0.5,14305.83,5785.07,82.73,571.51,975.68,10.572,18001.99,5.67,11.73,32.01,0.89,29771.37,2.5,11.13,25.25,28.23,19671.97,46.22,2231.61,18.59,7053.68,254.87,0.6,2138.17,28.33,313.52,8.05,1.5,3,513.22,1.5,64.51,191.65,2,29.32,45.73,0,0,1,0,0,0,0,0,0
85,HV3-9,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.02945,-177.1922833,1003,1038,middle,54.8,77.8,-33.88,8.6,182.8,8.359,7.103,7.564,220.2,4.6,0.18,-25.3,0.02,0.09,5.75,0.13,60.35,9.04,0.25,25,0.13,2.5,0.25,0.25,25,0.25,62.85,9.29,0.5,50,23.9,10.52,5.13,45.47,0.004,13240,2.5,0.5,27.4,0.4,7170,2.5,9.4,18.7,25.4,16020,26.6,994.3,12,4128,206.4,0.4,910.6,19.8,347.7,6.9,1.5,3,260.4,1.5,23,169.5,2,34.8,29.8,0,0,0,1,0,0,0,0,0
86,HVY-4A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14,163.901,237.977,289.3,lower,4.9,58.3,-25.52,15.6,15.2,9.912,7.285,7.478,285.9,3.2,-12.71,-5.31,0.01,0.12,17.01,6.23,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,6.35,5,0.5,0.5,50,72.96,29.84,5.49,246.53,0.065,12425.45,2.5,0.5,53.58,0.4,12415.51,2.5,22.86,38.67,10.14,25347.91,21.57,3047.71,10.64,27107.36,384.69,0.6,4747.51,119.38,786.78,1.5,1.5,3,334.59,1.5,133.5,1794.23,2,54.47,36.68,0,0,1,0,0,0,0,0,0
87,HVY-5A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14,163.901,237.977,289.3,lower,4.9,58.3,-25.52,15.6,15.2,9.957,7.663,7.868,610.8,4.6,-8.66,-2.72,0.01,0.14,25.24,4.66,97.6,0.25,0.25,25,0.13,50.11,0.25,0.25,25,4.78,147.7,0.5,0.5,50,65.54,45.39,6.38,400.55,0.08,21696.79,2.5,0.5,95.18,0.2,23755.02,2.5,37.05,63.45,14.46,40672.69,11.45,4240.96,6.63,42359.44,617.67,1,8599.4,170.18,1088.35,1.5,3.11,3,517.47,1.5,252.41,3311.24,2,94.48,53.51,0,0,1,0,0,0,0,0,0
88,HVY-9054A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.15421751,163.950428,94.4075,145.733,lower,2.1,109.7,-20.02,11.5,330,9.718,7.287,7.654,225,4.4,-15.92,-3.59,0.01,0.2,24.48,4.19,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,4.31,5,0.5,0.5,50,61.26,36.62,5.45,247.99,0.095,19405.24,2.5,0.5,82.56,0.3,24254.03,2.5,35.28,60.08,12.9,38346.77,6.45,4011.09,8.87,41512.1,559.07,0.81,6987.9,171.17,1090.73,3.73,1.5,3,379.13,1.5,233.17,3101.81,2,82.76,53.13,0,0,1,0,0,0,0,0,0
89,HVY-9062A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14311,163.89069,167.412,218.732,lower,4,58.3,-25.52,6.1,8.3,10.135,8.162,8.369,403.4,4.3,-12.76,-4.2,0.01,0.15,25.83,5.54,2.5,0.25,0.25,25,5.78,2.5,0.25,0.25,25,11.32,5,0.5,0.5,50,82.15,48.88,6.01,468.21,0.075,14900.2,2.5,0.5,61.28,0.2,14890.22,2.5,22.85,38.02,11.08,26836.33,2.5,3247.5,5.89,25748.5,387.43,0.7,5542.91,100.4,845.91,1.5,1.5,3,189.22,1.5,157.29,2014.97,2,62.87,40.12,0,0,1,0,0,0,0,0,0
90,HVY-9130A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.16503243,163.9685377,-45.5941,5.73187,lower,1.1,109.7,-20.02,4.5,326.8,9.633,8.892,9.02,10418,4.9,-9.63,-0.5,0.01,0.16,21.77,9.18,2322.18,12.08,0.25,2896.31,6.31,178.49,0.25,0.25,25,15.48,2500.67,12.33,0.5,2921.31,76.03,129.75,11.51,3176.5,0.31,18376.75,2.5,0.5,74.55,0.2,18897.8,2.5,28.26,46.19,11.82,32505.01,2.5,4001,8.72,31903.81,482.77,0.8,10280.56,126.85,1112.22,1.5,3.31,3,302.91,1.5,203.51,2832.67,2,77.96,48,0,0,1,0,0,0,0,0,0
91,KR-1,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.19783333,-177.1021167,1727,1761,upper,72.6,77.8,-33.88,20.5,261,8.078,7.212,7.557,1092.1,7.6,-3.89,-28.86,0.02,0.05,2.3,0.13,145.49,58.49,0.25,530.35,0.13,2.5,0.25,0.25,25,0.25,147.99,58.74,0.5,555.35,172.05,52.7,14.13,328,1.063,19480,2.5,0.5,76.9,1.6,9276,2.5,10,22.5,7.5,23390,16.8,1343,26.7,4686,832.2,0.1,1071,22.4,234.4,20.9,1.5,3,0,1.5,79.1,359.5,2,12.7,74.3,0,0,0,0,0,0,0,1,0
92,KR-2,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.1963,-177.1043,1747,1781,upper,72.4,77.8,-33.88,26.1,303.2,7.277,6.707,7.11,15610,9.3,-1.93,-33.99,0.1,0.01,0.13,14.25,2394.8,867.3,0.25,9923.1,16.89,212.57,59.9,0.25,5927.73,31.14,2607.37,927.2,0.5,15850.83,4403.5,56.61,1322.4,3233.5,97.395,15270.54,2.5,0.5,37.88,1.3,9052.1,2.5,10.12,20.24,8.62,22555.11,11.42,1878.76,30.46,7554.11,498.2,0.1,3770.54,21.04,151.5,19.84,1.5,3,375.95,1.5,260.22,281.86,2,11.82,74.65,0,0,0,0,0,0,0,1,0
93,KR-4,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.197,-177.06905,1644,1679,middle,72.4,77.8,-33.88,26.8,264.2,7.91,6.206,7.077,259.3,6.6,-6.09,-24.66,0.02,0.06,3.73,8.63,897.79,10.19,0.25,25,17.68,2.5,0.25,0.25,25,26.31,900.29,10.44,0.5,50,14.1,18.03,5.99,89.27,0.004,19520,2.5,0.5,23.2,0.7,6097,2.5,10.2,21.3,25.4,21180,8.4,1257,20.6,4423,335.9,0.1,863.1,18.2,511.6,7.2,1.5,3,524.5,1.5,31.7,133.4,2,29.8,46.1,0,0,0,1,0,0,0,0,0
94,LC1-5,LC,Cape Hallett,Cape Hallett,North Victoria Land,-72.321,170.228,-55.3906,-0.308624,lower,0.2,948.1,-12.38,0,320.3,5.39,4.51,4.773,172.7,10,19.38,-21.68,0.34,1.94,5.73,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,8.41,37.72,5.73,53.89,0.075,13996.02,2.5,0.5,34,1.19,9103.38,2.5,10.14,13.42,5.47,25566.6,2.5,2344.93,5.96,6916.5,531.71,1.49,4688.87,17.2,5982.11,1.5,4.08,3,277.63,1.5,69.28,1146.12,2,24.85,53.88,0,1,0,0,0,0,0,0,0
95,LGP (3-4),LGP,Cape Hallett,Cape Hallett,North Victoria Land,-72.321269,170.228218,-55.3984,-0.315437,lower,0.1,948.1,-12.38,0,108.2,5.889,4.325,4.896,96.7,6.9,20.44,-24.34,0.1,0.59,6,0.13,99.29,0.25,0.25,25,8.26,88.63,11.17,0.25,25,8.39,187.92,11.42,0.5,50,4.97,81.25,3.66,43.72,0.03,13670.63,11.81,75.3,44.15,2.48,8019.84,2.5,9.72,15.28,0.5,23839.29,25,2787.7,10.32,4684.52,459.52,1.98,5371.03,11.71,6641.87,2.98,1.5,3,204.96,1.5,70.54,1012.9,2,19.25,60.02,0,1,0,0,0,0,0,0,0
96,LGP (BA 1-3),LGP,Cape Hallett,Cape Hallett,North Victoria Land,-72.3212,170.2282,-55.3984,-0.315437,lower,0.2,948.1,-12.38,0,321.2,5.535,4.267,4.589,143.1,7.8,20.84,-21.21,0.43,2.6,6.02,0.13,52.82,0.25,0.25,25,0.13,125,0.25,0.25,25,0.25,177.82,0.5,0.5,50,6.47,123.23,3.34,56.44,0.045,13477.82,6.65,0.5,51.31,1.81,10917.34,2.5,10.48,15.42,10.79,27530.24,25,2581.65,10.48,7151.21,502.62,1.71,3746.98,17.14,7497.98,1.5,1.5,3,243.95,1.5,98.79,1138.1,2,24.19,63,0,1,0,0,0,0,0,0,0
97,LGP-BA LV8,LGP,Luther Vale,Cape Hallett,North Victoria Land,-72.371133,169.884367,119.472,174.144,lower,0.9,398.8,-20.46,1.4,138,8.882,7.855,7.415,707.6,2.2,3.04,-22.72,0.04,0.12,3.51,0.13,253.8,0.25,0.25,25,0.13,73.67,0.25,0.25,25,0.25,327.47,0.5,0.5,50,24.92,143.25,17.75,207.51,0.085,13359.84,5.67,0.5,24.55,0.7,4349.9,2.5,14.91,34.69,2.09,26103.38,25,1842.94,21.37,11113.32,394.04,0.2,1393.64,32.7,879.13,26.04,1.5,3,231.81,1.5,35.59,1024.85,2,20.08,65.21,0,0,1,0,0,0,0,0,0
98,LI-10,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66187,-60.394,22.7492,2.65518,lower,0,1666,-4.05,15.7,317,5.44,4.646,4.899,203,7.1,4.3,-26.69,0.35,4.97,14.29,0.13,46.02,0.25,0.25,25,0.13,2.5,4.19,0.25,25,0.25,48.52,4.44,0.5,50,58.09,53,8.63,112.17,0.07,5918,2.5,0.5,7.6,0.05,1860,2.5,6.9,11.2,11.5,10470,2.5,365.9,2.1,4694,176.4,0.1,471.3,8.1,836.4,29.4,1.5,3,157,1.5,12.2,856.4,2,25.5,48.3,0,0,0,0,0,0,1,0,0
99,LI-11,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792,280.294,260.181,lower,1,1666,-4.05,12.5,12.3,6.196,5.082,5.244,67.5,2.9,-4.73,-23.66,0.03,0.23,8.23,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,68.53,9.42,4.86,34.55,0.03,4803.21,2.5,0.5,8.33,0.05,1601.41,2.5,8.84,9.14,13.05,10431.73,2.5,112.35,1.41,4408.63,193.67,0.9,593.47,5.02,295.78,8.23,1.5,3,291.47,1.5,17.17,1272.09,2,28.01,15.56,0,0,0,0,0,0,1,0,0
100,LI-12,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792,280.294,260.181,lower,1,1666,-4.05,12.5,12.3,6.323,5.196,5.429,138.3,3.1,-8.18,-25.27,0.02,0.11,6.55,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,78.91,19.03,4.41,71.62,0.04,4450.2,2.5,0.5,6.37,0.05,1630.48,2.5,8.86,7.87,6.87,9932.27,2.5,169.02,0.05,4583.67,191.14,0.1,726.49,4.48,264.14,5.28,1.5,3,276.29,1.5,17.93,1173.31,2,26.99,13.25,0,0,0,0,0,0,1,0,0
101,LI-13,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792,280.294,260.181,lower,1,1666,-4.05,12.5,12.3,6.587,5.274,5.434,69.4,2.8,-11.69,-26.08,0.02,0.13,7.07,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,2.9,14.96,1.93,37.61,0.008,3927.15,2.5,0.5,6.69,0.05,1455.09,2.5,8.08,8.88,7.78,9227.54,2.5,130.34,2.79,4241.52,161.08,0.1,548,5.09,221.26,4.39,1.5,3,281.04,1.5,14.57,1082.83,2,24.95,14.27,0,0,0,0,0,0,1,0,0
102,LI-14,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792,280.294,260.181,lower,1,1666,-4.05,12.5,12.3,6.47,5.201,5.564,145.1,4.8,-4.82,-22.8,0.04,0.49,11.47,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,76.44,35.04,5.2,36.01,0.045,6747,2.5,0.5,11.4,0.05,1784,2.5,10.3,12.7,11.1,11770,2.5,124.9,1,4622,228.8,0.1,625.5,6.4,302.3,7.4,1.5,3,514.1,1.5,18.5,1613,2,35.3,18.2,0,0,0,0,0,0,1,0,0
103,LI-15,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792,280.294,260.181,lower,1,1666,-4.05,12.5,12.3,6.575,5.088,5.486,63.4,3.4,-4.44,-23.88,0.04,0.42,10.92,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,64.9,16.53,5.02,43.89,0.195,5828.31,2.5,0.5,8.43,0.05,1609.44,2.5,9.54,9.74,12.65,10913.65,2.5,102.21,0.5,4213.86,200.2,0.1,555.32,5.22,271.99,6.53,1.5,3,342.37,1.5,15.56,1477.91,2,30.92,16.67,0,0,0,0,0,0,1,0,0
104,LI-4,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,5.566,4.837,5.049,102.2,3.7,4.99,-24.63,0.06,0.5,9.2,0.13,2.5,0.25,0.25,25,0.13,51.55,0.25,0.25,25,0.25,54.05,0.5,0.5,50,71.6,41.14,5.3,40.27,0.04,7633.27,2.5,0.5,26.55,0.05,1901.8,2.5,9.92,12.02,12.63,13787.58,2.5,238.48,5.11,4988.98,268.14,0.2,618.84,6.91,606.01,12.22,1.5,3,325.05,1.5,20.44,1455.91,2,34.27,41.78,0,0,0,0,0,0,1,0,0
105,LI-5,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,5.999,4.989,5.131,103.9,2.7,4.92,-25.35,0.05,0.47,8.94,0.13,52,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,54.5,0.5,0.5,50,95.11,18.27,6.11,30.78,0.055,6116,2.5,0.5,18,0.05,1732,2.5,8.7,10.6,13.7,11390,2.5,177.4,3.2,4469,208.7,0.1,528.5,5.9,589.7,12.5,1.5,3,230.2,1.5,14.8,1308,2,31,30.4,0,0,0,0,0,0,1,0,0
106,LI-6,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,6.173,5.065,5.205,83,2.5,4.11,-25.49,0.04,0.3,7.67,0.13,2.5,0.25,0.25,25,0.13,38.48,0.25,0.25,25,0.25,40.98,0.5,0.5,50,58.27,20.47,4.38,27.94,0.03,5413.83,2.5,0.5,16.43,0.05,1645.29,2.5,8.62,8.22,13.33,10821.64,2.5,145.49,2.71,4517.03,221.64,0.1,496.99,6.71,533.27,9.32,1.5,3,259.72,1.5,17.23,1212.42,2,28.46,28.16,0,0,0,0,0,0,1,0,0
107,LI-9,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66187,-60.394,22.7492,2.65518,lower,0,1666,-4.05,15.7,317,5.964,4.834,5.008,277.1,7,6.13,-25.06,0.2,2.43,11.98,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,72.33,51.71,6.21,86.86,0.05,825.25,2.5,0.5,1.11,0.01,217.27,2.5,0.85,1.55,1.55,1366.27,2.5,42.64,0.47,538.62,24.4,0.1,48.72,0.95,104.69,3.46,1.5,3,17.81,1.5,1.39,97.05,2,3.07,5.66,0,0,0,0,0,0,1,0,0
108,LV-14,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582,107.792,162.478,lower,0.7,398.8,-20.46,4.8,208.4,7.861,7.38,7.357,286.1,1.2,3.27,-15.68,0.03,0.12,4.14,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,52.07,60.66,21.02,32.83,0.195,9476.1,2.5,0.5,12.45,0.1,3570.72,2.5,9.06,22.61,18.53,19342.63,2.5,1116.53,10.96,8027.89,323.71,0.1,189.14,24.5,645.12,15.14,1.5,3,155.08,1.5,18.43,165.94,2,9.66,47.41,0,0,1,0,0,0,0,0,0
109,LV-18,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582,107.792,162.478,lower,0.7,398.8,-20.46,4.8,208.4,7.978,7.727,7.399,351.8,1.3,6.15,-14.37,0.06,0.51,9.06,0.13,99.86,0.25,0.25,25,0.13,45.14,0.25,0.25,25,0.25,145,0.5,0.5,50,56.97,67.46,24.84,70.75,0.215,11197.6,2.5,0.5,11.38,0.5,6184.63,2.5,10.18,32.83,11.48,23073.85,795.41,1237.52,17.66,10249.5,374.15,0.1,130.34,25.95,682.04,17.17,1.5,3,275.45,1.5,27.45,167.66,2,7.68,50.1,0,0,1,0,0,0,0,0,0
