sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon
93,KR-4,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.197,-177.06905
94,LC1-5,LC,Cape Hallett,Cape Hallett,North Victoria Land,-72.321,170.228
95,LGP (3-4),LGP,Cape Hallett,Cape Hallett,North Victoria Land,-72.321269,170.228218
96,LGP (BA 1-3),LGP,Cape Hallett,Cape Hallett,North Victoria Land,-72.3212,170.2282
97,LGP-BA LV8,LGP,Luther Vale,Cape Hallett,North Victoria Land,-72.371133,169.884367
98,LI-10,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66187,-60.394
99,LI-11,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792
100,LI-12,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792
101,LI-13,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792
102,LI-14,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792
103,LI-15,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66989,-60.3792
104,LI-4,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202
105,LI-5,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202
106,LI-6,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202
107,LI-9,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66187,-60.394
108,LV-14,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582
109,LV-18,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582
110,MD-BJA1,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.249917,167.31457
111,MD-UN11,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.25247,167.28073
112,MD-UN6,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.247633,167.30375
113,ME-A1-1,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.09403,163.78671
114,ME-A2-3,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.09403,163.78671
115,ME-B1-2,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.092,163.77771
116,ME-c2-3,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.08899,163.77509
117,ME-C3-1,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.08899,163.77509
118,MF1-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62511667,-176.7705333
119,MF1-6,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62653333,-176.7433667
120,MF2-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.6236,-176.7353
121,MF3-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62266667,-176.75065
122,MFP-A1,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.5717,163.161
123,MFP-A2,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.5717,163.161
124,MFP-AAA,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.574361,163.163639
125,MFP-d,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.571733,163.161
126,MFX-2,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62411667,-176.7085
127,MK-A6,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.7607,172.751317
128,MK-KYBjA6,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.759966,172.768667
129,MK-UN8,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.7607,172.751317
130,MS-11,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71
131,MS-12,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71
132,MS-5,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71
133,MS-7,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71
134,MSP1-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48301667,-176.51275
135,MSP1-4,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48296667,-176.4805333
136,MSP2-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48188333,-176.5069667
137,MSP3-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48191667,-176.4879
138,MSP3-4,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48018333,-176.4880833
139,MW2-1,MW,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.55958333,-176.8112167
140,NP1-1,NP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.53455,-175.4222333
141,NP2-1,NP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.53481667,-175.4262
142,NP3-1,NP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.5346,-175.4231667
143,NP3-4,NP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.53441667,-175.4166
144,NP4-5,NP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.53315,-175.3152333
